Project_ID,Organization,Short_project_description,Year_technical_go_live,Organisation_profile,Business_domain,Development_method,Primary_programming_language,Development_class,Functional_size_FP,Actual_duration_months,Actual_cost_EUR,Release_based_working,Once_only_project,Multi_application_release,Phased_project,Dependencies_with_other_applications,Single_application,Migration_project,Problems_with_external_supplier,Security_related_project,Package_of_the_shelf,Package_with_customization,Steady_heartbeat,Fixed_experienced_team,Many_team_changes_unexperienced_team,Legacy_application,Technology_driven_project,Rules_and_regulations_driven_project,Business_driven_project,Pilot_or_proof_of_concept
267.0,Bank A,Maintenance project on an existing savings application; Savings Continuity Interest Points,2011.0,Banking,Savings & Loans,Plan-driven,JAVA,Minor Enhancement (5-25% new),18.0,5.0,146000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
322.0,Beltel,Maintenance and enhancements project on an existing internet application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Corrections on BIA tool,2012.0,Telecommunications,Internet & Mobile,Plan-driven,JAVA,Major Enhancement (25-75% new),72.0,5.52,41800.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
306.0,Bank A,Maintenance and new functionality project on an existing intranet application; Intranet Priority 1 Search Engine,2012.0,Banking,Organization,Plan-driven,JAVA,Conversion (<5% new),191.0,19.32,374140.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
307.0,Bank A,Maintenance and new functionality project on an existing finance & risk application; Paddock,2012.0,Banking,Finance & Risk,Plan-driven,JAVA,Major Enhancement (25-75% new),702.0,23.32,551140.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
269.0,Bank A,Maintenance and enhancement project on an existing savings application; Savings Harmonize Business,2011.0,Banking,Savings & Loans,Plan-driven,JAVA,Minor Enhancement (5-25% new),53.0,14.04,235800.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
305.0,Bank A,Maintenance and new functionality project on an existing intranet application; Intranet Priority 3 Collaboration (BUZZ 1.0),2012.0,Banking,Organization,Plan-driven,JAVA,New Development,577.0,16.48,582370.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
348.0,Bank A,"Maintenance, enhancements and new functionality release on an existing payments application; Loan IQ Finance Interface Phase 2",2012.0,Banking,Payments,Plan-driven,JAVA,Major Enhancement (25-75% new),314.0,10.99,1100000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
253.0,Bank A,Maintenance and new functionality project on an existing data warehouse application; part of a large customer migration program; Private Banking Target Landscape,2011.0,Banking,Data Warehouse & BI,Plan-driven,JAVA,Major Enhancement (25-75% new),275.0,6.77,175000.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
309.0,Bank A,Maintenance and new functionality project on an existing intranet application; Buzz Collaboration Application 2.0,2012.0,Banking,Organization,Plan-driven,JAVA,New Development,444.0,11.94,599820.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
338.0,Bank A,Maintenance and enhancements project on an existing payments application; part of a (phased) program; Loan IQ Finance Interface Phase 1,2011.0,Banking,Payments,Plan-driven,COBOL,New Development,299.0,10.04,806510.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
337.0,Bank A,Maintenance and enhancements release on an existing payments application; part of a (phased) program; Uniform RC Phase ll,2011.0,Banking,Payments,Plan-driven,COBOL,Minor Enhancement (5-25% new),254.0,17.95,609000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
211.0,Bank A,Maintenance and new functionality project on an existing internet customer advisory application; Functionality Meastro & Third Party Accounts (R5),2011.0,Banking,Internet & Mobile,Plan-driven,JAVA,Minor Enhancement (5-25% new),106.0,11.4,483160.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
