mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,25.9,117.6
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,24.6,117.6
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,7.7,31.2
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,8.2,36.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,9.7,25.2
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,2.2,8.4
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,3.5,10.8
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,66.6,352.8
2,1.15,0.94,1.15,1.66,1.56,0.87,1.07,0.86,0.91,0.86,1.0,0.95,0.91,0.91,1.0,7.5,72.0
2,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,20.0,72.0
2,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,6.0,24.0
2,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,100.0,360.0
2,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,1.0,1.0,1.07,1.0,1.0,1.0,11.3,36.0
